ik,I,Ik ben een student.,I am a student.
koekje,cookie,Neem een koekje.,Take a cookie.
taart,cake,Gefeliciteerd hier is taart.,Congratulations here is cake.
fles,bottle,Een fles water.,A bottle of water.
glas,glass,Een glas melk.,A glass of milk.
kop,cup,Een kop koffie.,A cup of coffee.
blik,can,Een blik soep.,A can of soup.
verpakking,package,De verpakking is leeg.,The packaging is empty.
winkel,shop,De winkel is dicht.,The shop is closed.
supermarkt,supermarket,Ik ga naar de supermarkt.,I am going to the supermarket.
markt,market,Op zaterdag is er markt.,On Saturday there is a market.
prijs,price,Wat is de prijs?,What is the price?
korting,discount,Je krijgt korting.,You get a discount.
aanbieding,offer,Dit is een goede aanbieding.,This is a good offer.
betalen,to pay,Waar kan ik betalen?,Where can I pay?
pinnen,to pay by card,Kan ik hier pinnen?,Can I pay by card here?
contant,cash,Ik betaal contant.,I am paying cash.
wisselgeld,change,Houd het wisselgeld maar.,Keep the change.
straat,street,Deze straat is lang.,This street is long.
weg,road,De weg is afgesloten.,The road is closed.
plein,square,We ontmoeten elkaar op het plein.,We will meet at the square.
stad,city,Amsterdam is een mooie stad.,Amsterdam is a beautiful city.
dorp,village,Ik woon in een klein dorp.,I live in a small village.
station,station,Het centraal station.,The central station.
halte,stop,De volgende halte.,The next stop.
bus,bus,De bus vertrekt zo.,The bus is leaving soon.
trein,train,De trein naar Utrecht.,The train to Utrecht.
metro,metro,Neem de metro.,Take the metro.
tram,tram,De tram stopt hier.,The tram stops here.
fiets,bicycle,Waar is mijn fiets?,Where is my bike?
auto,car,Wij gaan met de auto.,We are going by car.
taxi,taxi,Bel een taxi.,Call a taxi.
vliegtuig,airplane,Het vliegtuig landt zo.,The airplane is landing soon.
ticket,ticket,Heb je een ticket?,Do you have a ticket?
kaart,card/ticket,Een enkele kaart alstublieft.,A single ticket please.
OV-chipkaart,transport card,Vergeet je OV-chipkaart niet.,Do not forget your transport card.
rijden,to drive,Wie gaat er rijden?,Who is going to drive?
parkeren,to park,Mag ik hier parkeren?,May I park here?
tanken,to refuel,Ik moet eerst nog tanken.,I have to refuel first.
vliegen,to fly,Vogels kunnen vliegen.,Birds can fly.
varen,to sail,Zullen we gaan varen?,Shall we go sailing?
reizen,to travel,Zij reizen de hele wereld rond.,They travel around the whole world.
vakantie,holiday,Ik heb zin in de vakantie.,I am looking forward to the holiday.
hotel,hotel,We slapen in een hotel.,We sleep in a hotel.
camping,campsite,Gaan jullie naar de camping?,Are you going to the campsite?
tent,tent,Slapen in een tent.,Sleeping in a tent.
strand,beach,Laten we naar het strand gaan.,Let's go to the beach.
zee,sea,De zee is erg koud.,The sea is very cold.
bergen,mountains,Wandelen in de bergen.,Walking in the mountains.
bos,forest,Ik loop graag in het bos.,I like walking in the forest.
meer,lake,Zwemmen in het meer.,Swimming in the lake.
rivier,river,De rivier stroomt snel.,The river flows fast.
eiland,island,Wij wonen op een eiland.,We live on an island.
wereld,world,De wereld is groot.,The world is big.
land,country,Nederland is een klein land.,The Netherlands is a small country.
reispas,passport,Vergeet je paspoort niet.,Do not forget your passport.
visum,visa,Ik heb een visum nodig.,I need a visa.
koffer,suitcase,Mijn koffer is erg zwaar.,My suitcase is very heavy.
tas,bag,Ik heb een kleine tas.,I have a small bag.
rugzak,backpack,Neem je rugzak mee.,Take your backpack with you.
souvenir,souvenir,Ik koop een souvenir.,I buy a souvenir.
groeten,greetings,De hartelijke groeten.,Best regards.
ja,yes,Ja dat klopt.,Yes that is right.
nee,no,Nee dank je.,No thank you.
misschien,maybe,Misschien regent het.,Maybe it will rain.
oké,okay,Oké tot later.,Okay see you later.
tot ziens,goodbye,Tot ziens en een fijne dag.,Goodbye and have a nice day.
dag,bye,Dag tot de volgende keer.,Bye until next time.
hallo,hello,Hallo hoe gaat het?,Hello how are you?
hoi,hi,Hoi wat leuk om je te zien.,Hi how nice to see you.
goedemorgen,good morning,Goedemorgen lekker geslapen?,Good morning did you sleep well?
goedemiddag,good afternoon,Goedemiddag wat kan ik voor u doen?,Good afternoon what can I do for you?
goedenavond,good evening,Goedenavond wilt u alvast iets drinken?,Good evening would you like something to drink already?
goedenacht,good night,Goedenacht slaap lekker.,Good night sleep well.
welkom,welcome,Welkom in ons huis.,Welcome to our house.
alstublieft,please (formal),Alstublieft hier is uw koffie.,Please here is your coffee.
alsjeblieft,please (informal),Alsjeblieft hier is je boek.,Please here is your book.
bedankt,thanks,Bedankt voor je hulp.,Thanks for your help.
dank u wel,thank you (formal),Dank u wel voor de uitnodiging.,Thank you for the invitation.
dank je wel,thank you (informal),Dank je wel voor het cadeau.,Thank you for the gift.
geen dank,you're welcome,Geen dank graag gedaan.,You're welcome my pleasure.
graag gedaan,my pleasure,Graag gedaan tot ziens.,My pleasure goodbye.
sorry,sorry,Sorry ik was een beetje laat.,Sorry I was a little late.
pardon,excuse me,Pardon mag ik er even langs?,Excuse me may I get past?
excuus,excuse me,Mijn excuus voor de fout.,My excuse for the mistake.
hoe gaat het?,how are you?,Hoe gaat het met jou?,How are you doing?
goed,good,Met mij gaat het goed.,I am doing well.
niet zo goed,not so good,Het gaat vandaag niet zo goed.,It's not going so well today.
gefeliciteerd,congratulations,Gefeliciteerd met je verjaardag.,Congratulations on your birthday.
succes,good luck,Succes met je examen.,Good luck with your exam.
proost,cheers,Proost op je nieuwe baan.,Cheers to your new job.
eet smakelijk,enjoy your meal,Eet smakelijk allemaal.,Enjoy your meal everyone.
goede reis,have a good trip,Goede reis en kom veilig aan.,Have a good trip and arrive safely.
ik begrijp het,I understand,Ik begrijp het nu eindelijk.,I finally understand it now.
ik weet het niet,I don't know,Ik weet het echt niet.,I really don't know.
wacht even,wait a moment,Wacht even ik kom eraan.,Wait a moment I'm coming.
kom binnen,come in,Kom binnen en ga zitten.,Come in and sit down.
tot straks,see you later,Tot straks bij de afspraak.,See you later at the appointment.
tot morgen,see you tomorrow,Tot morgen op school.,See you tomorrow at school.
ik hou van jou,I love you,Ik hou heel veel van jou.,I love you very much.
wat is dat?,what is that?,Wat is dat voor een geluid?,What kind of sound is that?
waar is het?,where is it?,Waar is het station precies?,Where is the station exactly?
hoe laat is het?,what time is it?,Hoe laat is het nu?,What time is it now?
hoeveel kost het?,how much does it cost?,Hoeveel kost deze appel?,How much does this apple cost?
mag ik iets vragen?,may I ask something?,Mag ik u iets korts vragen?,May I ask you something short?
kunt u mij helpen?,can you help me?,Kunt u mij even helpen?,Can you help me for a moment?
spreekt u engels?,do you speak english?,Spreekt u ook een beetje Engels?,Do you also speak a little English?
ik leer nederlands,I am learning dutch,Ik leer elke dag Nederlands.,I learn Dutch every day.
ik kom uit...,I am from...,Ik kom uit de Verenigde Staten.,I am from the United States.
hoe heet je?,what is your name?,Hoe heet je en waar kom je vandaan?,What is your name and where are you from?
ik heet...,my name is...,Ik heet Jan en ik ben dertig.,My name is Jan and I am thirty.
leuk je te ontmoeten,nice to meet you,Leuk je vandaag te ontmoeten.,Nice to meet you today.
hoe oud ben je?,how old are you?,Hoe oud ben je precies?,How old are you exactly?
ik ben ... jaar oud,I am ... years old,Ik ben vijfentwintig jaar oud.,I am twenty-five years old.
waar woon je?,where do you live?,Waar woon je in Nederland?,Where do you live in the Netherlands?
ik woon in...,I live in...,Ik woon nu in Amsterdam.,I live in Amsterdam now.
wat doe je?,what do you do?,Wat doe je voor werk?,What do you do for work?
ik ben een...,I am a...,Ik ben een student.,I am a student.
het spijt me,I am sorry,Het spijt me verschrikkelijk.,I am terribly sorry.
geen probleem,no problem,Geen probleem ik help je graag.,No problem I am happy to help you.
natuurlijk,of course,Natuurlijk kom ik naar je feestje.,Of course I am coming to your party.
echt?,really?,Echt waar is dat zo?,Really is that so?
misschien,maybe,Misschien gaan we morgen.,Maybe we are going tomorrow.
ik denk het wel,I think so,Ik denk het wel hoor.,I think so indeed.
ik denk het niet,I don't think so,Ik denk het eerlijk gezegd niet.,To be honest I don't think so.
ik hoop het,I hope so,Ik hoop het ook voor je.,I hope so for you too.
ik ben moe,I am tired,Ik ben erg moe vandaag.,I am very tired today.
ik ben ziek,I am sick,Ik ben een beetje ziek.,I am a little sick.
ik heb honger,I am hungry,Ik heb nu echt honger.,I am really hungry now.
ik heb dorst,I am thirsty,Ik heb een beetje dorst.,I am a little thirsty.
het is koud,it is cold,Het is buiten erg koud.,It is very cold outside.
het is warm,it is warm,Het is vandaag heerlijk warm.,It is wonderfully warm today.
het regent,it is raining,Het regent al de hele dag.,It has been raining all day.
de zon schijnt,the sun is shining,De zon schijnt eindelijk weer.,The sun is finally shining again.
ik ben klaar,I am finished,Ik ben klaar met mijn werk.,I am finished with my work.
het is laat,it is late,Het is al erg laat.,It is already very late.
ik moet gaan,I have to go,Ik moet nu echt gaan.,I really have to go now.
tot ziens,goodbye,Tot ziens en een fijne dag.,Goodbye and a nice day.
houdoe,bye (regional),Houdoe en bedankt.,Bye and thanks.
tot de volgende keer,until next time,Tot de volgende keer maar weer.,Until next time again.
